Match Day Number,Home Team,AwayTeam
24,Man United,Burnley
24,Newcastle,Man City
24,Wolves,West Ham
24,Bournemouth,Chelsea
24,Liverpool,Leicester
24,Southampton,Crystal Palace
24,Tottenham,Watford
25,Brighton,Watford
25,Burnley,Southampton
25,Cardiff,Bournemouth
25,Chelsea,Huddersfield
25,Crystal Palace,Fulham
25,Everton,Wolves
25,Tottenham,Newcastle
25,Leicester,Man United
25,Man City,Arsenal
25,West Ham,Liverpool
26,Everton,Man City
26,Brighton,Burnley
26,Crystal Palace,West Ham
26,Fulham,Man United
26,Huddersfield,Arsenal
26,Liverpool,Bournemouth
26,Southampton,Cardiff
26,Watford,Everton
26,Man City,Chelsea
26,Tottenham,Leicester
26,Wolves,Newcastle
27,Cardiff,Watford
27,West Ham,Fulham
27,Bournemouth,Wolves
27,Burnley,Tottenham
27,Leicester,Crystal Palace
27,Newcastle,Huddersfield
27,Arsenal,Southampton
27,Man United,Liverpool
28,Cardiff,Everton
28,Huddersfield,Wolves
28,Leicester,Brighton
28,Newcastle,Burnley
28,Arsenal,Bournemouth
28,Chelsea,Tottenham
28,Crystal Palace,Man United
28,Liverpool,Watford
28,Man City,West Ham
28,Southampton,Fulham
29,Bournemouth,Man City
29,Brighton,Huddersfield
29,Burnley,Crystal Palace
29,Man United,Southampton
29,Tottenham,Arsenal
29,West Ham,Newcastle
29,Wolves,Cardiff
29,Everton,Liverpool
29,Fulham,Chelsea
29,Watford,Leicester
30,Cardiff,West Ham
30,Crystal Palace,Brighton
30,Huddersfield,Bournemouth
30,Leicester,Fulham
30,Man City,Watford
30,Newcastle,Everton
30,Southampton,Tottenham
30,Arsenal,Man United
30,Chelsea,Wolves
30,Liverpool,Burnley
31,Bournemouth,Newcastle
31,Burnley,Leicester
31,West Ham,Huddersfield
31,Everton,Chelsea
31,Fulham,Liverpool
32,Brighton,Southampton
32,Burnley,Wolves
32,Crystal Palace,Huddersfield
32,Fulham,Man City
32,Leicester,Bournemouth
32,Man United,Watford
32,West Ham,Everton
32,Cardiff,Chelsea
32,Liverpool,Tottenham
32,Arsenal,Newcastle
32,Watford,Fulham
32,Wolves,Man United
32,Chelsea,Brighton
32,Man City,Cardiff
32,Tottenham,Crystal Palace
33,Southampton,Liverpool
33,Bournemouth,Burnley
33,Huddersfield,Leicester
33,Newcastle,Crystal Palace
33,Everton,Arsenal
33,Chelsea,West Ham
34,Leicester,Newcastle
34,Brighton,Bournemouth
34,Burnley,Cardiff
34,Fulham,Everton
34,Man United,West Ham
34,Southampton,Wolves
34,Tottenham,Huddersfield
34,Crystal Palace,Man City
34,Liverpool,Chelsea
34,Watford,Arsenal
34,Brighton,Cardiff
35,Bournemouth,Fulham
35,Huddersfield,Watford
35,Man City,Tottenham
35,Newcastle,Southampton
35,West Ham,Leicester
35,Wolves,Brighton
35,Arsenal,Crystal Palace
35,Cardiff,Liverpool
35,Everton,Man United
35,Chelsea,Burnley
35,Tottenham,Brighton
35,Watford,Southampton
35,Man United,Man City
35,Wolves,Arsenal
36,Liverpool,Huddersfield
36,Brighton,Newcastle
36,Crystal Palace,Everton
36,Fulham,Cardiff
36,Southampton,Bournemouth
36,Tottenham,West Ham
36,Watford,Wolves
36,Burnley,Man City
36,Leicester,Arsenal
36,Man United,Chelsea
37,Everton,Burnley
37,Bournemouth,Tottenham
37,Cardiff,Crystal Palace
37,Newcastle,Liverpool
37,West Ham,Southampton
37,Wolves,Fulham
37,Arsenal,Brighton
37,Chelsea,Watford
37,Huddersfield,Man United
37,Man City,Leicester
38,Brighton,Man City
38,Burnley,Arsenal
38,Crystal Palace,Bournemouth
38,Fulham,Newcastle
38,Leicester,Chelsea
38,Liverpool,Wolves
38,Man United,Cardiff
38,Southampton,Huddersfield
38,Tottenham,Everton
38,Watford,West Ham
