MatchID,Team name
286,Wolves
286,Cardiff
287,Everton
287,Liverpool
288,Fulham
288,Chelsea
289,Watford
289,Leicester
290,Cardiff
290,West Ham
291,Crystal Palace
291,Brighton
292,Huddersfield
292,Bournemouth
293,Leicester
293,Fulham
294,Man City
294,Watford
295,Newcastle
295,Everton
296,Southampton
296,Tottenham
297,Arsenal
297,Man United
298,Chelsea
298,Wolves
299,Liverpool
299,Burnley
300,Bournemouth
300,Newcastle
301,Burnley
301,Leicester
302,West Ham
302,Huddersfield
303,Everton
303,Chelsea
304,Fulham
304,Liverpool
305,Brighton
305,Southampton
306,Burnley
306,Wolves
307,Crystal Palace
307,Huddersfield
308,Fulham
308,Man City
309,Leicester
309,Bournemouth
310,Man United
310,Watford
311,West Ham
311,Everton
312,Cardiff
312,Chelsea
313,Liverpool
313,Tottenham
314,Arsenal
314,Newcastle
315,Watford
315,Fulham
316,Wolves
316,Man United
317,Chelsea
317,Brighton
318,Man City
318,Cardiff
319,Tottenham
319,Crystal Palace
320,Southampton
320,Liverpool
321,Bournemouth
321,Burnley
322,Huddersfield
322,Leicester
323,Newcastle
323,Crystal Palace
324,Everton
324,Arsenal
325,Chelsea
325,West Ham
326,Leicester
326,Newcastle
327,Brighton
327,Bournemouth
328,Burnley
328,Cardiff
329,Fulham
329,Everton
330,Man United
330,West Ham
331,Southampton
331,Wolves
332,Tottenham
332,Huddersfield
333,Crystal Palace
333,Man City
334,Liverpool
334,Chelsea
335,Watford
335,Arsenal
336,Brighton
336,Cardiff
337,Bournemouth
337,Fulham
338,Huddersfield
338,Watford
339,Man City
339,Tottenham
340,Newcastle
340,Southampton
341,West Ham
341,Leicester
342,Wolves
342,Brighton
343,Arsenal
343,Crystal Palace
344,Cardiff
344,Liverpool
345,Everton
345,Man United
346,Chelsea
346,Burnley
347,Tottenham
347,Brighton
348,Watford
348,Southampton
349,Man United
349,Man City
350,Wolves
350,Arsenal
351,Liverpool
351,Huddersfield
352,Brighton
352,Newcastle
353,Crystal Palace
353,Everton
354,Fulham
354,Cardiff
355,Southampton
355,Bournemouth
356,Tottenham
356,West Ham
357,Watford
357,Wolves
358,Burnley
358,Man City
359,Leicester
359,Arsenal
360,Man United
360,Chelsea
361,Everton
361,Burnley
362,Bournemouth
362,Tottenham
363,Cardiff
363,Crystal Palace
364,Newcastle
364,Liverpool
365,West Ham
365,Southampton
366,Wolves
366,Fulham
367,Arsenal
367,Brighton
368,Chelsea
368,Watford
369,Huddersfield
369,Man United
370,Man City
370,Leicester
371,Brighton
371,Man City
372,Burnley
372,Arsenal
373,Crystal Palace
373,Bournemouth
374,Fulham
374,Newcastle
375,Leicester
375,Chelsea
376,Liverpool
376,Wolves
377,Man United
377,Cardiff
378,Southampton
378,Huddersfield
379,Tottenham
379,Everton
380,Watford
380,West Ham
